Allen, John Mccain, Republican, 60.67
Anderson, John Mccain, Republican, 65.14
Atchison, John Mccain, Republican, 52.72
Barber, John Mccain, Republican, 74.45
Barton, John Mccain, Republican, 70.56
Bourbon, John Mccain, Republican, 62.53
Brown, John Mccain, Republican, 68.21
Butler, John Mccain, Republican, 65.13
Chase, John Mccain, Republican, 70.52
Chautauqua, John Mccain, Republican, 76.57
Cherokee, John Mccain, Republican, 60.9
Cheyenne, John Mccain, Republican, 76.64
Clark, John Mccain, Republican, 77.39
Clay, John Mccain, Republican, 73.95
Cloud, John Mccain, Republican, 70.12
Coffey, John Mccain, Republican, 72.16
Comanche, John Mccain, Republican, 78.54
Cowley, John Mccain, Republican, 61.59
Crawford, Barack Obama, Democrat, 49.5
Decatur, John Mccain, Republican, 76.81
Dickinson, John Mccain, Republican, 70.16
Doniphan, John Mccain, Republican, 66.55
Douglas, Barack Obama, Democrat, 64.42
Edwards, John Mccain, Republican, 73.32
Elk, John Mccain, Republican, 72.66
Ellis, John Mccain, Republican, 65.94
Ellsworth, John Mccain, Republican, 68.79
Finney, John Mccain, Republican, 66.89
Ford, John Mccain, Republican, 64.64
Franklin, John Mccain, Republican, 60.3
Geary, John Mccain, Republican, 55.5
Gove, John Mccain, Republican, 80.11
Graham, John Mccain, Republican, 74.49
Grant, John Mccain, Republican, 74.97
Gray, John Mccain, Republican, 77.54
Greeley, John Mccain, Republican, 79.33
Greenwood, John Mccain, Republican, 71.04
Hamilton, John Mccain, Republican, 77.01
Harper, John Mccain, Republican, 71.49
Harvey, John Mccain, Republican, 57.68
Haskell, John Mccain, Republican, 81.34
Hodgeman, John Mccain, Republican, 78.92
Jackson, John Mccain, Republican, 60.95
Jefferson, John Mccain, Republican, 58.32
Jewell, John Mccain, Republican, 77.71
Johnson, John Mccain, Republican, 53.85
Kearny, John Mccain, Republican, 78.21
Kingman, John Mccain, Republican, 71.04
Kiowa, John Mccain, Republican, 80.35
Labette, John Mccain, Republican, 55.38
Lane, John Mccain, Republican, 79.26
Leavenworth, John Mccain, Republican, 54.89
Lincoln, John Mccain, Republican, 75.91
Linn, John Mccain, Republican, 66.84
Logan, John Mccain, Republican, 82.43
Lyon, John Mccain, Republican, 51.88
Mcpherson, John Mccain, Republican, 66.76
Marion, John Mccain, Republican, 68.64
Marshall, John Mccain, Republican, 62.69
Meade, John Mccain, Republican, 79.75
Miami, John Mccain, Republican, 61.01
Mitchell, John Mccain, Republican, 76.18
Montgomery, John Mccain, Republican, 66.94
Morris, John Mccain, Republican, 66
Morton, John Mccain, Republican, 82.24
Nemaha, John Mccain, Republican, 71.23
Neosho, John Mccain, Republican, 62.19
Ness, John Mccain, Republican, 79.15
Norton, John Mccain, Republican, 77.76
Osage, John Mccain, Republican, 63.89
Osborne, John Mccain, Republican, 77.2
Ottawa, John Mccain, Republican, 75.28
Pawnee, John Mccain, Republican, 67.59
Phillips, John Mccain, Republican, 78.93
Pottawatomie, John Mccain, Republican, 70.44
Pratt, John Mccain, Republican, 67.35
Rawlins, John Mccain, Republican, 80.5
Reno, John Mccain, Republican, 60.77
Republic, John Mccain, Republican, 74.05
Rice, John Mccain, Republican, 69.14
Riley, John Mccain, Republican, 52.66
Rooks, John Mccain, Republican, 79.91
Rush, John Mccain, Republican, 68.78
Russell, John Mccain, Republican, 76.19
Saline, John Mccain, Republican, 62.16
Scott, John Mccain, Republican, 83.66
Sedgwick, John Mccain, Republican, 55.44
Seward, John Mccain, Republican, 71.05
Shawnee, John Mccain, Republican, 49.27
Sheridan, John Mccain, Republican, 80.52
Sherman, John Mccain, Republican, 72.45
Smith, John Mccain, Republican, 77.99
Stafford, John Mccain, Republican, 72.08
Stanton, John Mccain, Republican, 75.94
Stevens, John Mccain, Republican, 85.33
Sumner, John Mccain, Republican, 65.17
Thomas, John Mccain, Republican, 77.24
Trego, John Mccain, Republican, 73.31
Wabaunsee, John Mccain, Republican, 68.02
Wallace, John Mccain, Republican, 85.82
Washington, John Mccain, Republican, 75.44
Wichita, John Mccain, Republican, 82.43
Wilson, John Mccain, Republican, 69.16
Woodson, John Mccain, Republican, 65.98
Wyandotte, Barack Obama, Democrat, 69.73
