Alcona, Joseph R Biden Jr, Democrat, 30.32
Alger, Joseph R Biden Jr, Democrat, 40.04
Allegan, Joseph R Biden Jr, Democrat, 36.44
Alpena, Joseph R Biden Jr, Democrat, 35.36
Antrim, Joseph R Biden Jr, Democrat, 37.37
Arenac, Joseph R Biden Jr, Democrat, 31.41
Baraga, Joseph R Biden Jr, Democrat, 36.6
Barry, Joseph R Biden Jr, Democrat, 32.86
Bay, Joseph R Biden Jr, Democrat, 43.4
Benzie, Joseph R Biden Jr, Democrat, 44.69
Berrien, Joseph R Biden Jr, Democrat, 45.44
Branch, Joseph R Biden Jr, Democrat, 29.99
Calhoun, Joseph R Biden Jr, Democrat, 43.57
Cass, Joseph R Biden Jr, Democrat, 34.83
Charlevoix, Joseph R Biden Jr, Democrat, 40.82
Cheboygan, Joseph R Biden Jr, Democrat, 34.26
Chippewa, Joseph R Biden Jr, Democrat, 37.68
Clare, Joseph R Biden Jr, Democrat, 31.93
Clinton, Joseph R Biden Jr, Democrat, 45.84
Crawford, Joseph R Biden Jr, Democrat, 33.99
Delta, Joseph R Biden Jr, Democrat, 35.96
Dickinson, Joseph R Biden Jr, Democrat, 32.52
Eaton, Joseph R Biden Jr, Democrat, 48.66
Emmet, Joseph R Biden Jr, Democrat, 43.57
Genesee, Joseph R Biden Jr, Democrat, 53.93
Gladwin, Joseph R Biden Jr, Democrat, 30.98
Gogebic, Joseph R Biden Jr, Democrat, 43.19
Grand Traverse, Joseph R Biden Jr, Democrat, 47.62
Gratiot, Joseph R Biden Jr, Democrat, 34.99
Hillsdale, Joseph R Biden Jr, Democrat, 25.25
Houghton, Joseph R Biden Jr, Democrat, 41.89
Huron, Joseph R Biden Jr, Democrat, 29.78
Ingham, Joseph R Biden Jr, Democrat, 65.18
Ionia, Joseph R Biden Jr, Democrat, 33.84
Iosco, Joseph R Biden Jr, Democrat, 34.97
Iron, Joseph R Biden Jr, Democrat, 36.72
Isabella, Joseph R Biden Jr, Democrat, 47.83
Jackson, Joseph R Biden Jr, Democrat, 39.57
Kalamazoo, Joseph R Biden Jr, Democrat, 58.35
Kalkaska, Joseph R Biden Jr, Democrat, 28.24
Kent, Joseph R Biden Jr, Democrat, 52.05
Keweenaw, Joseph R Biden Jr, Democrat, 43.16
Lake, Joseph R Biden Jr, Democrat, 36.19
Lapeer, Joseph R Biden Jr, Democrat, 31.09
Leelanau, Joseph R Biden Jr, Democrat, 52.04
Lenawee, Joseph R Biden Jr, Democrat, 39.19
Livingston, Joseph R Biden Jr, Democrat, 37.91
Luce, Joseph R Biden Jr, Democrat, 28.06
Mackinac, Joseph R Biden Jr, Democrat, 37.52
Macomb, Joseph R Biden Jr, Democrat, 45.31
Manistee, Joseph R Biden Jr, Democrat, 41.67
Marquette, Joseph R Biden Jr, Democrat, 54.63
Mason, Joseph R Biden Jr, Democrat, 39.42
Mecosta, Joseph R Biden Jr, Democrat, 35.04
Menominee, Joseph R Biden Jr, Democrat, 34.23
Midland, Joseph R Biden Jr, Democrat, 41.75
Missaukee, Joseph R Biden Jr, Democrat, 22.47
Monroe, Joseph R Biden Jr, Democrat, 37.84
Montcalm, Joseph R Biden Jr, Democrat, 30.23
Montmorency, Joseph R Biden Jr, Democrat, 27.79
Muskegon, Joseph R Biden Jr, Democrat, 49.37
Newaygo, Joseph R Biden Jr, Democrat, 28.99
Oakland, Joseph R Biden Jr, Democrat, 56.36
Oceana, Joseph R Biden Jr, Democrat, 35.16
Ogemaw, Joseph R Biden Jr, Democrat, 29.18
Ontonagon, Joseph R Biden Jr, Democrat, 36.57
Osceola, Joseph R Biden Jr, Democrat, 26.07
Oscoda, Joseph R Biden Jr, Democrat, 27.53
Otsego, Joseph R Biden Jr, Democrat, 32.14
Ottawa, Joseph R Biden Jr, Democrat, 38.35
Presque Isle, Joseph R Biden Jr, Democrat, 34.89
Roscommon, Joseph R Biden Jr, Democrat, 34.4
Saginaw, Joseph R Biden Jr, Democrat, 49.43
St. Clair, Joseph R Biden Jr, Democrat, 34.07
St. Joseph, Joseph R Biden Jr, Democrat, 33.15
Sanilac, Joseph R Biden Jr, Democrat, 26.58
Schoolcraft, Joseph R Biden Jr, Democrat, 33.49
Shiawassee, Joseph R Biden Jr, Democrat, 39.13
Tuscola, Joseph R Biden Jr, Democrat, 29.59
Van Buren, Joseph R Biden Jr, Democrat, 43.01
Washtenaw, Joseph R Biden Jr, Democrat, 72.61
Wayne, Joseph R Biden Jr, Democrat, 68.45
Wexford, Joseph R Biden Jr, Democrat, 31.96
