Asotin, Donald J Trump, Republican, 61.24
Chelan, Donald J Trump, Republican, 52.52
Clallam, Joseph R Biden Jr, Democrat, 50.18
Cowlitz, Donald J Trump, Republican, 57.11
Ferry, Donald J Trump, Republican, 63.45
Grays Harbor, Donald J Trump, Republican, 51.71
Island, Joseph R Biden Jr, Democrat, 54.17
Kitsap, Joseph R Biden Jr, Democrat, 56.9
Kittitas, Donald J Trump, Republican, 53.5
Klickitat, Donald J Trump, Republican, 53.37
Okanogan, Donald J Trump, Republican, 55.63
Pacific, Donald J Trump, Republican, 49.44
Pend Oreille, Donald J Trump, Republican, 66.97
Skagit, Joseph R Biden Jr, Democrat, 52.1
Skamania, Donald J Trump, Republican, 53.13
Snohomish, Joseph R Biden Jr, Democrat, 58.51
Spokane, Donald J Trump, Republican, 50.29
Wahkiakum, Donald J Trump, Republican, 58.4
Walla Walla, Donald J Trump, Republican, 52.46
Whatcom, Joseph R Biden Jr, Democrat, 60.35
Whitman, Joseph R Biden Jr, Democrat, 52.94
Yakima, Donald J Trump, Republican, 52.56
